Name,Category,Type,Hands,Damage,Range,Magical,Crit,Damage Type,Description
Ankh-Reaver of the Dawn,Magic Item,Longsword,Held,1d8 + 1 +d6 radiant vs evil,Melee,TRUE,19-20/x2,Slashing,"Appearance: A blade of polished aurichalcum, etched with hieroglyphic sun-prayers. The fuller glows like molten gold when undead are near. The pommel is a miniature ankh whose loop burns with inner daylight. LEVEL-BASED PROGRESSION: Level 5 - Dawn's First Breath: The blade awakens with a soft, steady glow. Weapon Stats: +1 holy longsword, Deals +1d6 radiant to undead Passive:  Sun-Sense: Detect undead within 30 ft. Radiant Pulse (1/Hour): Heal an ally 1d6 or deal 1d6 radiant to undead on touch. Active (1/day): Solar Cut: +1d6 radiant; undead must save or be dazzled 1 round. Level 8 - Light of the Ankh"
Boots of Spider Climb,Magic Item,Armor,Feet,N/A,N/A,TRUE,N/A,N/A,"When worn, these soft, lightweight boots let the wearer move along vertical surfaces or even crawl upside-down across ceilings, all while keeping their hands free. They function like a continuous spider climb effect with a fixed movement rate. Movement: 15 ft. while climbing per round. Limitations: Do not function on extremely slippery surfaces: Icy, Oiled, Greased"
Concelus Dawn Seeker,Magic Item,Armor,Chest,N/A,N/A,TRUE,N/A,N/A,"Forged in the Sevenfold Sunrise ritual, this armor awakens as its wearer proves worthy. Its hieroglyphs glow brighter with each victory over undeath. Base Armor: +1 Radiant Full Plate. Aura: Strong abjuration & evocation Scaling: Unlocks powers at specific paladin levels. Level-Based Progression: Level 1-4: Dawn-Touched Aegis: Functions as +1 radiant armor, Constant soft golden glow (bright light 10 ft.), Undead within 10 ft. take 1 radiant damage per round, Wielder gains +1 sacred bonus on saves vs. undead abilities, Wielder gains +2 sacred bonus vs. fear. Level 5-8: Armor of the First Light"
Dagger of Whispered Venom,Magic Item,Weapon,Held,1d4 +2,Melee,TRUE,19-20/x2,Piercing,"A matte obsidian blade with a faint violet sheen. The hilt is wrapped in dark leather, and the pommel bears a stylized serpent coiled around a crescent moon. When drawn, the dagger emits a soft whisper only the wielder can hear. Venomous Whisper (2/day): As a free action before attacking, the wielder may invoke the dagger's venomous enchantment: Target must make a Fortitude save (DC 15) or take 1d6 poison damage and suffer -2 to attack rolls for 1 round, Undead are immune to poison but take 1d4 necrotic damage instead. Silent Edge: Grants +2 competence bonus to Move Silently and Sleight of Hand, When drawn, the dagger muffles ambient sound within 5 ft (non-magical only). Shadow Flicker (1/day): As a swift action, the wielder may teleport up to 10 ft to a space they can see, leaving behind a brief shadow afterimage. Must be used immediately after a successful melee attack."
Elixir of Soul Renewal,Magic Item,Potion,Held,N/A,N/A,TRUE,N/A,N/A,"The Elixir of Soul Renewal (15th Lvl) restores deep soul damage, repairing both physical and metaphysical harm. Restores all ability damage to any ability score, Restores 1d4 points of ability drain (you choose which ability), Removes fatigue, Removes exhaustion, Removes negative levels (up to 2 temporary negative levels), Grants +4 sacred bonus on all saving throws for 10 minutes, Grants +10 temporary hit points for 1 hour"
Everfresh Picnic Basket,Magic Item,Container,Held,N/A,N/A,TRUE,N/A,N/A,"Appearance: A sturdy, handwoven basket with a sun-motif clasp and soft linen lining. When opened, it emits a faint aroma of herbs and baked bread. The interior always feels cool and dry. Daily Meal (Su): Once per day, the basket produces a complete meal for 15 creatures: Includes bread, fruit, cheese, and a warm drink (tea, broth, or cider), The meal is nutritious, satisfying, and counts as a full day's sustenance, The food vanishes if not consumed within 1 hour. Hospitality Aura: Allies within 10 ft gain +1 morale bonus on saves vs fatigue and fear while the basket is open, Allies gain 1d6 Hit Points back after eating the meal, The aura lasts for 10 minutes after the meal is served. Flavor Shift (1/week): The basket can be attuned to a region or deity: Alters the meal's flavor and ingredients to match local cuisine or divine symbolism, Examples: desert dates and goat cheese (solar deity), mushroom stew and berry wine (nature deity)"
Handy Haversack,Magic Item,Container,Held,N/A,N/A,TRUE,N/A,N/A,"A backpack of this sort appears to be well made, well used, and quite ordinary. It is constructed of finely tanned leather, and the straps have brass hardware and buckles. It has two side pouches, each of which appears large enough to hold about a quart of material. In fact, each is like a bag of holding and can actually hold material of as much as 2 cubic feet in volume or 20 pounds in weight. The large central portion of the pack can contain up to 8 cubic feet or 80 pounds of material. Even when so filled, the backpack always weighs only 5 pounds. While such storage is useful enough, the pack has an even greater power in addition. When the wearer reaches into it for a specific item, that item is always on top. Thus, no digging around and fumbling is ever necessary to find what a haversack contains. Retrieving any specific item from a haversack is a move action, but it does not provoke the attacks of opportunity that retrieving a stored item usually does."
Helm of the Vigilant Mind,Magic Item,Armor,Worn,N/A,N/A,TRUE,N/A,N/A,"A smooth, close-fitting helm of polished steel, engraved with a subtle pattern resembling an open eye. When danger approaches, the eye motif glimmers faintly. Vigilance (Ex): The wearer gains a +2 competence bonus on Spot and Listen checks. Danger Sense (Su): Once per day, as an immediate action, the wearer may gain a +4 insight bonus on a single Reflex save or AC vs. one attack. Mind-Ward (Su): The wearer gains a +1 resistance bonus on Will saves against mind-affecting effects (Stacks with a cloak of resistance because it's a different bonus type.)"
Lute of the Dawn,Magic Item,Instrument,Held,N/A,N/A,TRUE,N/A,N/A,"Let the sun sing through your strings. A radiant instrument crafted from sun-blessed cedar and strung with threads of golden light. Its melodies stir courage, dispel shadows, and awaken divine memory."
Mithril Chain Shirt +2,Magic Item,Armor,Chest,N/A,N/A,TRUE,N/A,N/A,"Armor Bonus: +6 (+4 Base, +2 Enchant), Max Dex Bonus: +4, Armor Check Penalty: 0, Arcane Spell Failure: 10%, Speed: 30 ft. (no penalty), Weight: 12.5 lb., Type: Light armor"
